ID,x_init,y_init,x_refined,y_refined,best_radius,max_snr,instr_mag,known_mag,ZP
42,793,893,790.2923467099275,891.7922879469413,2.5,0.10825477638974398,27.91528869350171,17.71726847,4.801979776498289
30,809,1113,808.5814670707597,1114.0672298326735,6.0,0.03022099052282047,28.388815278915295,21.63961354,8.250798261084704
43,807,753,805.3562307585356,756.9325188317199,2.0,0.07048783343515418,28.642693055906015,20.23580709,6.593114034093984
74,1170,509,1168.8940629544077,508.7291411723803,16.5,0.04424020379583148,26.875157804668607,21.66952393,9.794366125331393
75,1159,381,1162.2065859452064,377.7218751253729,20.0,-0.023899422786807605,,21.80586528,
76,1159,328,1159.0,328.0,5.5,0.013939048910039577,29.31496540555878,21.66708102,7.352115614441221
63,1583,604,1583.0,604.0,9.0,0.007132748566679659,29.525386118484647,21.11544263,6.590056511515353
48,1785,581,1783.4358878363544,586.0344606314654,3.5,0.028355064213325357,29.071840771977442,20.42723496,6.355394188022558
79,1409,409,1412.5472040748698,415.20559457184794,4.0,0.1463469716680754,27.133955177236007,20.92483397,8.790878792763994
65,1599,409,1599.0,409.0,2.5,0.08809043639018715,28.14682119122515,21.26574289,8.118921698774848
61,1466,1063,1464.4984108458407,1066.8533894294942,4.5,0.1257713308478245,27.112094253413236,19.71643989,7.604345636586764
28,1710,1033,1704.0267707886171,1424.5106963222713,4.5,0.09825649056292253,27.383371861069087,20.61603208,8.232660218930913
89,908,1448,911.033319292288,1454.4546227578812,4.5,0.29765539017392884,26.176539843566616,18.21651625,7.039976406433386
2,1171,1704,1168.7920491787147,1701.0948711472806,6.0,0.06347418123431053,27.591434586136266,20.98415733,8.392722743863732
4,1561,1632,1561.0,1632.0,7.5,-0.016461663462530723,,17.25010115,
70,589,1423,590.8160212148852,1427.2848662674521,10.0,-0.04615533767864669,,18.52656494,
54,336,1292,336.0,1292.0,2.5,0.07487799340840129,28.308314743556213,17.1648199,3.856505156443788
18,1127,1276,1123.0287233226677,1278.2373104048986,2.5,0.07491297184219331,28.32215365506695,19.78524413,6.463090474933052
62,1674,704,1670.5717764035326,704.7033589094373,4.5,0.11226170304754668,27.2368297300684,15.7289325,3.492102769931602
82,1963,657,1967.0594216196469,648.4731316236184,4.5,0.013076985993063043,29.57625984282901,17.22336067,2.647100827170993
80,1906,880,1912.0374433820443,876.9376935087399,14.5,-0.019312599344026286,,19.59725414,
13,195,1418,182.07676485106214,1417.8156401585866,2.0,0.027190042496300124,29.6732734892132,16.71631193,2.0430384407867983
12,173,1468,175.18662334848358,1456.9594287958212,20.0,6.368241460043188,21.24752264337756,19.26763859,13.02011594662244
