objName,objAltName1,objAltName2,objAltName3,objID,uniquePspsOBid,ippObjID,surveyID,htmID,zoneID,tessID,projectionID,skyCellID,randomID,batchID,dvoRegionID,processingVersion,objInfoFlag,qualityFlag,raStack,decStack,raStackErr,decStackErr,raMean,decMean,raMeanErr,decMeanErr,epochMean,posMeanChisq,cx,cy,cz,lambda,beta,l,b,nStackObjectRows,nStackDetections,nDetections,ng,nr,ni,nz,ny,gQfPerfect,gMeanPSFMag,gMeanPSFMagErr,gMeanPSFMagStd,gMeanPSFMagNpt,gMeanPSFMagMin,gMeanPSFMagMax,gMeanKronMag,gMeanKronMagErr,gMeanKronMagStd,gMeanKronMagNpt,gMeanApMag,gMeanApMagErr,gMeanApMagStd,gMeanApMagNpt,gFlags,rQfPerfect,rMeanPSFMag,rMeanPSFMagErr,rMeanPSFMagStd,rMeanPSFMagNpt,rMeanPSFMagMin,rMeanPSFMagMax,rMeanKronMag,rMeanKronMagErr,rMeanKronMagStd,rMeanKronMagNpt,rMeanApMag,rMeanApMagErr,rMeanApMagStd,rMeanApMagNpt,rFlags,iQfPerfect,iMeanPSFMag,iMeanPSFMagErr,iMeanPSFMagStd,iMeanPSFMagNpt,iMeanPSFMagMin,iMeanPSFMagMax,iMeanKronMag,iMeanKronMagErr,iMeanKronMagStd,iMeanKronMagNpt,iMeanApMag,iMeanApMagErr,iMeanApMagStd,iMeanApMagNpt,iFlags,zQfPerfect,zMeanPSFMag,zMeanPSFMagErr,zMeanPSFMagStd,zMeanPSFMagNpt,zMeanPSFMagMin,zMeanPSFMagMax,zMeanKronMag,zMeanKronMagErr,zMeanKronMagStd,zMeanKronMagNpt,zMeanApMag,zMeanApMagErr,zMeanApMagStd,zMeanApMagNpt,zFlags,yQfPerfect,yMeanPSFMag,yMeanPSFMagErr,yMeanPSFMagStd,yMeanPSFMagNpt,yMeanPSFMagMin,yMeanPSFMagMax,yMeanKronMag,yMeanKronMagErr,yMeanKronMagStd,yMeanKronMagNpt,yMeanApMag,yMeanApMagErr,yMeanApMagStd,yMeanApMagNpt,yFlags,distance
PSO J053.3112-00.0682,-999,-999,-999,107910533111358608,3507903000025654,365441587373109,0,9424770320696,10791,1,1245,91,0.882473016048291,3507903,85086,3,268513280,32,-999.0,-999.0,-999.0,-999.0,53.31118477,-0.06818172,0.0155300004407763,0.0155300004407763,56620.35878472,-999.0,0.5974681970796853,0.8018917242307217,-0.0011899952228162,50.90242076756341,-18.666916857115822,184.86679545419975,-42.670512642554456,-999,0,1,1,0,0,0,0,0.9988750219345092,17.419599533081055,0.003878999967128,-999.0,1,17.419599533081055,17.419599533081055,18.143800735473636,0.0120149999856948,-999.0,1,18.19510078430176,0.003878999967128,-999.0,1,24,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.0678893412266036
PSO J053.3118-00.0677,-999,-999,-999,107910533117539221,3507903000025741,365441587373196,0,9424770321838,10791,1,1245,91,0.632145066402988,3507903,85086,3,268513280,32,-999.0,-999.0,-999.0,-999.0,53.31180308,-0.0676713,0.0174100007861852,0.0174100007861852,56620.35878472,-999.0,0.597459549704045,0.8018981802583173,-0.0011810867195087,50.903187690424566,-18.66657786287947,184.866770868769,-42.66971107626191,-999,0,1,1,0,0,0,0,0.9989500045776368,18.433000564575195,0.008828000165522,-999.0,1,18.433000564575195,18.433000564575195,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,24,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.0671801879025174
PSO J053.3133-00.0689,-999,-999,-999,107910533132557774,3507903000025950,365441587373405,0,9424770318826,10791,1,1245,91,0.0249057412379475,3507903,85086,3,268513280,32,-999.0,-999.0,-999.0,-999.0,53.31330332,-0.06886114,0.016669999808073,0.016669999808073,56991.32603009,-999.0,0.5974385377126656,0.801913804098872,-0.0012018533303401,50.90440556089833,-18.66810599163239,184.86930484219903,-42.6692694452967,-999,0,1,0,0,1,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.9987980127334596,17.633100509643555,0.0072619998827576,-999.0,1,17.633100509643555,17.633100509643555,18.1382999420166,0.0152860004454851,-999.0,1,18.02079963684082,0.0072619998827576,-999.0,1,24,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.0677307230910299
PSO J053.3158-00.0697,-999,-999,-999,107910533157416770,3507903000026240,365441587373695,0,9424770387824,10791,1,1245,91,0.283549296002415,3507903,85086,3,268959744,32,-999.0,-999.0,-999.0,-999.0,53.31575528,-0.06970663,0.3522799909114837,0.3522799909114837,56292.24667824,-999.0,0.5974042087845208,0.8019393563025091,-0.0012166099038438,50.90668708917104,-18.66953949645934,184.8722721974449,-42.66786714165552,-999,0,1,0,1,0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.7508649826049805,22.691999435424805,0.3519560098648071,-999.0,1,22.691999435424805,22.691999435424805,-999.0,-999.0,-999.0,1,22.5580997467041,0.3519560098648071,-999.0,1,4120,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.0676941105584674
PSO J053.3161-00.0674,-999,-999,-999,107910533160649518,3507903000026275,365441587373730,0,9424770397616,10791,1,1245,91,0.922553771103317,3507903,85086,3,436285440,52,53.31603574,-0.06744401,0.0010000000474974,0.0010000000474974,53.31609998,-0.06741616,0.1786900013685226,0.1786900013685226,55516.51422454,-999.0,0.597399412763789,0.8019429887234133,-0.0011766336895494,50.90764572499391,-18.66740871118216,184.87011596446897,-42.66617856322126,-999,3,1,0,0,1,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,114720,0.9971759915351868,21.96689987182617,0.1780589967966079,-999.0,1,21.96689987182617,21.96689987182617,21.73970031738281,0.2739349901676178,-999.0,1,21.62669944763184,0.1780589967966079,-999.0,1,115000,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,114720,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,0.0654155811927714
PSO J053.3193-00.0683,-999,-999,-999,107910533192308580,3507903000026663,365441587374118,0,9424770396684,10791,1,1245,91,0.258607411997958,3507903,85086,3,444915712,53,53.31923427,-0.06826601,0.0010000000474974,0.0010000000474974,53.31927013527837,-0.0682566259003027,0.0040306812152266,0.0040306812152266,56180.60093171942,4.033939361572266,0.5973550302519998,0.8019760274664097,-0.001191302576479,50.91066436779481,-18.669020864875336,184.8736876151328,-42.66420878169719,-999,5,68,8,15,18,13,14,0.999750018119812,21.17410087585449,0.0233210008591413,0.0870449990034103,8,21.091800689697266,21.316999435424805,20.953100204467773,0.048565000295639,0.2822229862213135,8,20.800500869750977,0.0283179990947246,0.1914950013160705,8,16892216,0.9997069835662842,20.461700439453125,0.031954001635313,0.0887359976768493,12,20.31329917907715,20.625999450683597,20.39249992370605,0.0530479997396469,0.1442350000143051,12,20.271699905395508,0.0510849989950656,0.1342069953680038,12,16892216,0.9996860027313232,19.948699951171875,0.0194189995527267,0.0994099974632263,17,19.769399642944336,20.091100692749023,19.72249984741211,0.0300670005381107,0.1326590031385421,18,19.65250015258789,0.0252279993146657,0.1144559979438781,18,16892216,0.9994570016860962,19.708200454711918,0.0270060002803802,0.0857010036706924,12,19.568300247192383,19.88319969177246,19.48789978027344,0.0394899994134902,0.1554930061101913,12,19.42340087890625,0.0357000008225441,0.1456139981746673,12,16892216,0.999550998210907,19.52239990234375,0.0412519983947277,0.1593569964170456,12,19.28300094604492,19.792999267578125,19.305299758911133,0.0580409988760948,0.21458800137043,12,19.269899368286133,0.0616360008716583,0.1821170002222061,12,115000,0.0652547359645951
PSO J053.3194-00.0708,-999,-999,-999,107910533193515528,3507903000026673,365441587374128,0,9424770390189,10791,1,1245,91,0.518696727714219,3507903,85086,3,268513280,32,-999.0,-999.0,-999.0,-999.0,53.31940285,-0.07076293,0.0208000000566244,0.0208000000566244,55853.57804398,-999.0,0.5973531409257452,0.8019773685634849,-0.0012350458028809,50.91013453056786,-18.67147692445474,184.8764710428192,-42.66565621300759,-999,0,1,0,0,1,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.9985470175743104,18.68899917602539,0.0144020002335309,-999.0,1,18.68899917602539,18.68899917602539,19.020999908447266,0.0268559996038675,-999.0,1,18.962799072265625,0.0144020002335309,-999.0,1,24,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.0676292400043553
PSO J053.3199-00.0677,-999,-999,-999,107910533199099184,3507903000026728,365441587374183,0,9424770389418,10791,1,1245,91,0.359810776412311,3507903,85086,3,268959744,32,-999.0,-999.0,-999.0,-999.0,53.31991197,-0.06768527,0.1845400035381317,0.1845400035381317,56937.49299769,-999.0,0.5973460534420956,0.8019827285517463,-0.0011813305418351,50.91146953704156,-18.66862533057984,184.8736124143144,-42.66335130817362,-999,0,1,0,0,1,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.7704370021820068,21.19610023498535,0.1839260011911392,-999.0,1,21.19610023498535,21.19610023498535,-999.0,-999.0,-999.0,0,21.44910049438477,0.1839260011911392,-999.0,1,4120,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.0645284386411485
PSO J053.3204-00.0674,-999,-999,-999,107910533204229520,3507903000026788,365441587374243,0,9424770389964,10791,1,1245,91,0.820898616519662,3507903,85086,3,268959744,32,-999.0,-999.0,-999.0,-999.0,53.32043526,-0.06740758,0.323170006275177,0.323170006275177,56562.6191088,-999.0,0.5973387322149186,0.8019881887418366,-0.0011764839404032,50.912077747497854,-18.66848775996593,184.87375632312597,-42.66276843155845,-999,0,1,0,0,0,1,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.5397670269012451,20.32360076904297,0.3228189945220947,-999.0,1,20.32360076904297,20.32360076904297,-999.0,-999.0,-999.0,0,20.37299919128418,0.3228189945220947,-999.0,1,4112,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.0641200604357241
PSO J053.3209-00.0710,-999,-999,-999,107910533208615237,3507903000026848,365441587374303,0,9424770390509,10791,1,1245,91,0.653095219892538,3507903,85086,3,268959744,32,-999.0,-999.0,-999.0,-999.0,53.32086929,-0.07096948,0.2390999943017959,0.2390999943017959,56937.45534722,-999.0,0.5973326120924953,0.8019926535043868,-0.0012386507776935,50.911578278904045,-18.672044670071323,184.87792605538115,-42.66463229973902,-999,0,1,0,0,1,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.6771759986877441,21.185300827026367,0.2386319935321808,-999.0,1,21.185300827026367,21.185300827026367,-999.0,-999.0,-999.0,0,21.524900436401367,0.2386319935321808,-999.0,1,4120,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.0674518293086559
